1/map	409600	896000	4	5
2/map	256000	665600	6	6
3/map	307200	819200	4	4
4/map	128000	0	2	2
5/map	768000	435200	3	3
6/map	204800	204800	2	2
21/map	0	102400	4	5
22/map	102400	51200	6	6
23/map	102400	204800	4	4
24/map	179200	0	2	2
25/map	844800	435200	3	3
26/map	614400	384000	2	2
41/map	921600	204800	4	5
42/map	665600	281600	6	6
43/map	819200	204800	4	4
44/map	230400	0	2	2
45/map	921600	435200	3	3
46/map	256000	819200	2	2
61/map	358400	153600	6	6
62/map	588800	614400	6	6
63/map	204800	486400	6	6
65/map	537600	51200	4	4
66/map	204800	665600	3	3
67/map	281600	0	2	2
68/map	1049600	0	4	4
69/map	1049600	716800	6	6
70/map	819200	716800	4	4
71/map	51200	486400	3	3
72/map	665600	435200	4	4
73/map	0	1203200	6	6
74/map	153600	1203200	6	6
75/map	819200	1049600	2	2
76/map	307200	1203200	8	8
77/map	51200	563200	3	3
81/map	819200	0	1	1
91/map	256000	51200	4	4
92/map	83200	0	1	1
103/map	0	25600	3	3
105/map	6400	0	1	1
108/map	128000	640000	3	3
109/map	128000	716800	3	3
110/map	32000	0	1	1
111/map	57600	0	1	1
112/map	844800	0	1	1
113/map	870400	0	2	2
114/map	921600	0	2	2
118/map	1126400	102400	2	4
119/map	1126400	204800	2	4
120/map	1126400	307200	2	4
121/map	1152000	0	3	3
122/map	1177600 102400	2	4
123/map	1177600	204800	2	4
124/map	1177600	307200	2	4
125/map	1228800	0	4	4
126/map	1228800	102400	2	4
127/map	1228800	204800	2	4
128/map	1228800	307200	2	4
140/map	1049600	1510400	3	6
141/map	1024000	1664000	6	6
142/map	1177600	1664000	7	4
143/map	1126400	1510400	4	6
181/map	972800	102400	2	2
182/map	921600	153600	2	2
183/map	972800	153600	2	2
251/map	742400	614400	3	3
252/map	512000	153600	4	3
